EMR Concept Fully Specified Name,EMR Concept short name,EMR Concept UUID,EMR Concept ID,EMR concept Data Type,EMR Options (Answers),EMR Form Name,EMR Form UUID
Dyspareunia,,e92970af-4e14-11e4-8a57-0800271c1b75,644,N/A,,,
"Endometriosis, unspec.",,e92c1e3a-4e14-11e4-8a57-0800271c1b75,645,N/A,,,
"Female genital disease, unspec.",,e92e0592-4e14-11e4-8a57-0800271c1b75,646,N/A,,,
"Fibroid uterus (leiomyoma), unspec.",,e96376d4-4e14-11e4-8a57-0800271c1b75,647,N/A,,,
"Incontinence, stress, female",,e9688e22-4e14-11e4-8a57-0800271c1b75,648,N/A,,,
"Pelvic inflammatory disease, unspec.",,e99ed8c3-4e14-11e4-8a57-0800271c1b75,649,N/A,,,
"Infertility, female, unspec.",,e9a26e59-4e14-11e4-8a57-0800271c1b75,650,N/A,,,
"Infertility, male, unspec.",,e9a51bb7-4e14-11e4-8a57-0800271c1b75,651,N/A,,,
BPH/LUTS w/ obstruction,,e9a6eda5-4e14-11e4-8a57-0800271c1b75,652,N/A,,,
BPH/LUTS w/o obstruction,,e9aa2d70-4e14-11e4-8a57-0800271c1b75,653,N/A,,,
"Hydrocele, unspec.",,e9ad8795-4e14-11e4-8a57-0800271c1b75,654,N/A,,,
"Impotence, organic",,e9afc64a-4e14-11e4-8a57-0800271c1b75,655,N/A,,,
"Prostatitis, NOS",,e9b2fc60-4e14-11e4-8a57-0800271c1b75,656,N/A,,,
"PSA, elevated",,e9b6897e-4e14-11e4-8a57-0800271c1b75,657,N/A,,,
"Urethritis, nongonococcal, unspec.",,e9ebbe41-4e14-11e4-8a57-0800271c1b75,658,N/A,,,
Varicocele,,e9efad45-4e14-11e4-8a57-0800271c1b75,659,N/A,,,
"Calculus, urinary, unspec.",,e9f15c17-4e14-11e4-8a57-0800271c1b75,660,N/A,,,
"Glomerulonephritis, acute, unspec.",,e9f4a066-4e14-11e4-8a57-0800271c1b75,661,N/A,,,
"Glomerulonephritis, chronic, unspec.",,e9f84ad8-4e14-11e4-8a57-0800271c1b75,662,N/A,,,
"Hematuria, unspec.",,e9fb3648-4e14-11e4-8a57-0800271c1b75,663,N/A,,,
"Pyelonephritis, acute, w/o necrosis",,e9fe3ff8-4e14-11e4-8a57-0800271c1b75,664,N/A,,,
"Renal failure, acute, unspec.",,ea0182a1-4e14-11e4-8a57-0800271c1b75,665,N/A,,,
"Renal failure/insufficiency, chronic, unspec.",,ea05a1a6-4e14-11e4-8a57-0800271c1b75,666,N/A,,,
"Renal insufficiency, acute",,ea08c98f-4e14-11e4-8a57-0800271c1b75,667,N/A,,,
"Urethral syndrome, non-VD, NOS",,ea0bfdc6-4e14-11e4-8a57-0800271c1b75,668,N/A,,,
"Urinary obstruction, unspec.",,ea0fe837-4e14-11e4-8a57-0800271c1b75,669,N/A,,,
"Urinary tract infection, unspec./pyuria",,ea1376ca-4e14-11e4-8a57-0800271c1b75,670,N/A,,,
"Pregnancy, Childbirth",,ea160612-4e14-11e4-8a57-0800271c1b75,671,N/A,,,
"Abortion, induced, w/o complication",,ea185ac5-4e14-11e4-8a57-0800271c1b75,672,N/A,,,
"Abortion, spontaneous, w/o complication",,ea1b0b93-4e14-11e4-8a57-0800271c1b75,673,N/A,,,
"Abruptio placentae, unspec.",,ea1ef17e-4e14-11e4-8a57-0800271c1b75,674,N/A,,,
"Bleeding in pregnancy, unspec.",,ea24115b-4e14-11e4-8a57-0800271c1b75,675,N/A,,,
"Complicated delivery/labor, unspec.",,ea277e54-4e14-11e4-8a57-0800271c1b75,676,N/A,,,
"Decreased fetal movements, unspec.",,ea2b518e-4e14-11e4-8a57-0800271c1b75,677,N/A,,,
"Ectopic pregnancy, no IUP, unspec.",,ea2ec61e-4e14-11e4-8a57-0800271c1b75,678,N/A,,,
"Endometritis, postpartum",,ea32f731-4e14-11e4-8a57-0800271c1b75,679,N/A,,,
"Gestational hypertension, unspec.",,ea3601ff-4e14-11e4-8a57-0800271c1b75,680,N/A,,,
Normal delivery,,ea380283-4e14-11e4-8a57-0800271c1b75,681,N/A,,,
"Other complication of puerperium/postpartum, unspec.",,ea3b6389-4e14-11e4-8a57-0800271c1b75,682,N/A,,,
"Placenta previa, w/ bleeding, unspec.",,ea526593-4e14-11e4-8a57-0800271c1b75,683,N/A,,,
"Placenta previa, w/o bleeding, unspec.",,ea57f1c4-4e14-11e4-8a57-0800271c1b75,684,N/A,,,
"Postpartum follow-up, routine",,ea5ab6b9-4e14-11e4-8a57-0800271c1b75,685,N/A,,,
"Post-term pregnancy, unspec.",,ea5e359b-4e14-11e4-8a57-0800271c1b75,686,N/A,,,
"Pregnancy, other complications, unspec.",,ea619ccd-4e14-11e4-8a57-0800271c1b75,687,N/A,,,
"Pregnant state, incidental",,ea687347-4e14-11e4-8a57-0800271c1b75,688,N/A,,,
"Prenatal care, normal, first pregnancy",,ea6a58e5-4e14-11e4-8a57-0800271c1b75,689,N/A,,,
"Threatened abortion, unspec.",,ea6e3239-4e14-11e4-8a57-0800271c1b75,690,N/A,,,
"Twins, unspec.",,ea71773e-4e14-11e4-8a57-0800271c1b75,691,N/A,,,
"Vomiting of pregnancy, unspec.",,ea7342d1-4e14-11e4-8a57-0800271c1b75,692,N/A,,,
"Skin, Subcutaneous Tissue",,ea769781-4e14-11e4-8a57-0800271c1b75,693,N/A,,,
Actinic keratosis,,ea78f1f3-4e14-11e4-8a57-0800271c1b75,694,N/A,,,
"Alopecia, unspec.",,ea7b296e-4e14-11e4-8a57-0800271c1b75,695,N/A,,,
"Contact dermatitis, NOS",,ea7edc4b-4e14-11e4-8a57-0800271c1b75,696,N/A,,,
Corn/callus,,ea80e26c-4e14-11e4-8a57-0800271c1b75,697,N/A,,,
Diaper rash,,ea849eea-4e14-11e4-8a57-0800271c1b75,698,N/A,,,
"Hair disease, unspec.",,ea87beff-4e14-11e4-8a57-0800271c1b75,699,N/A,,,
Ingrown nail,,ea89cfff-4e14-11e4-8a57-0800271c1b75,700,N/A,,,
"Lymphadenitis, acute",,ea8cef67-4e14-11e4-8a57-0800271c1b75,701,N/A,,,
"Nail disease, unspec.",,ea8f11e8-4e14-11e4-8a57-0800271c1b75,702,N/A,,,
Onychomycosis,,ea922f5b-4e14-11e4-8a57-0800271c1b75,703,N/A,,,
"Other skin disease, unspec.",,ea9566e3-4e14-11e4-8a57-0800271c1b75,704,N/A,,,
Pityriasis rosea,,ea99434b-4e14-11e4-8a57-0800271c1b75,705,N/A,,,
"Pruritus, NOS",,ea9bdfb1-4e14-11e4-8a57-0800271c1b75,706,N/A,,,
Sebaceous cyst,,ea9f494d-4e14-11e4-8a57-0800271c1b75,707,N/A,,,
"Seborrheic dermatitis, NOS",,eaa1137b-4e14-11e4-8a57-0800271c1b75,708,N/A,,,
"Seborrheic keratosis, NOS",,eaa60ff2-4e14-11e4-8a57-0800271c1b75,709,N/A,,,
"Ulcer, skin, chronic, unspec.",,eae09446-4e14-11e4-8a57-0800271c1b75,710,N/A,,,
"Urticaria, unspec.",,eb1fdf45-4e14-11e4-8a57-0800271c1b75,711,N/A,,,
Musculoskeletal and Connective Tissue,,eb21fd4e-4e14-11e4-8a57-0800271c1b75,712,N/A,,,
"Acquired deformity, limb, unspec.",,eb24c13a-4e14-11e4-8a57-0800271c1b75,713,N/A,,,
"Arthropathy, traumatic, unspec.",,eb27476c-4e14-11e4-8a57-0800271c1b75,714,N/A,,,
"Arthropathy, unspec.",,eb5c2f1f-4e14-11e4-8a57-0800271c1b75,715,N/A,,,
"Cervical disorder, NOS",,eb603c8f-4e14-11e4-8a57-0800271c1b75,716,N/A,,,
"Connective tissue disease, unspec.",,ebc7ddfd-4e14-11e4-8a57-0800271c1b75,717,N/A,,,
"Derangement, knee, internal, unspec.",,ec05b76d-4e14-11e4-8a57-0800271c1b75,718,N/A,,,
"Disc syndrome, no myelopathy, NOS",,ec0aa91e-4e14-11e4-8a57-0800271c1b75,719,N/A,,,
"Ganglion, unspec.",,ec110592-4e14-11e4-8a57-0800271c1b75,720,N/A,,,
"Kyphosis/scoliosis, unspec.",,ec429b4f-4e14-11e4-8a57-0800271c1b75,721,N/A,,,
"Muscle weakness, generalized",,ec460c39-4e14-11e4-8a57-0800271c1b75,722,N/A,,,
"Osteoarthritis of spine, NOS",,ec4a05a4-4e14-11e4-8a57-0800271c1b75,723,N/A,,,
"Osteomyelitis, chronic, unspec.",,ec4c41ce-4e14-11e4-8a57-0800271c1b75,724,N/A,,,
"Osteoporosis, unspec.",,ec503172-4e14-11e4-8a57-0800271c1b75,725,N/A,,,
Pain in limb,,ec532105-4e14-11e4-8a57-0800271c1b75,726,N/A,,,
Polymyalgia rheumatica,,ec553a2a-4e14-11e4-8a57-0800271c1b75,727,N/A,,,
Rheumatoid arthritis (not JRA),,ec59961c-4e14-11e4-8a57-0800271c1b75,728,N/A,,,
"Synovitis/tenosynovitis, unspec.",,ec5d84c3-4e14-11e4-8a57-0800271c1b75,729,N/A,,,
Congenital Anomalies,,ec8f90e6-4e14-11e4-8a57-0800271c1b75,730,N/A,,,
"Congenital anomaly, other, unspec.",,ec9269d4-4e14-11e4-8a57-0800271c1b75,731,N/A,,,
"Limb anomaly, unspec.",,ec9592ed-4e14-11e4-8a57-0800271c1b75,732,N/A,,,
Pyloric stenosis,,ec992d68-4e14-11e4-8a57-0800271c1b75,733,N/A,,,
Undescended testis,,ec9c2884-4e14-11e4-8a57-0800271c1b75,734,N/A,,,
Perinatal (Infant),,ec9e159a-4e14-11e4-8a57-0800271c1b75,735,N/A,,,
"Birth asphyxia, unspec.",,eca0dae8-4e14-11e4-8a57-0800271c1b75,736,N/A,,,
"Birth trauma, unspec.",,ecb5a1bf-4e14-11e4-8a57-0800271c1b75,737,N/A,,,
"Fetal distress, unspec.",,ecb910f2-4e14-11e4-8a57-0800271c1b75,738,N/A,,,
"Hypoxemia, newborn, NOS",,ecbc7d14-4e14-11e4-8a57-0800271c1b75,739,N/A,,,
"Jaundice, newborn, unspec.",,ecfeac2e-4e14-11e4-8a57-0800271c1b75,740,N/A,,,
Post-term infant,,ed03c7df-4e14-11e4-8a57-0800271c1b75,741,N/A,,,
Respiratory distress syndrome,,ed070bd2-4e14-11e4-8a57-0800271c1b75,742,N/A,,,
"Respiratory problem, other, unspec.",,ed75ad9f-4e14-11e4-8a57-0800271c1b75,743,N/A,,,
"Sepsis, neonatal",,ed790a22-4e14-11e4-8a57-0800271c1b75,744,N/A,,,
Skin/temperature problem,,ed7cbb2e-4e14-11e4-8a57-0800271c1b75,745,N/A,,,
Sudden infant death syndrome,,ed7e6746-4e14-11e4-8a57-0800271c1b75,746,N/A,,,
"Well newborn, hospital birth, vaginal",,ed81d880-4e14-11e4-8a57-0800271c1b75,747,N/A,,,
Injuries and Adverse Effects,,ed85e597-4e14-11e4-8a57-0800271c1b75,748,N/A,,,
"Dislocation: other, closed, unspec.",,ed8949b2-4e14-11e4-8a57-0800271c1b75,749,N/A,,,
"Dislocation: shoulder, closed, unspec.",,ed8cc304-4e14-11e4-8a57-0800271c1b75,750,N/A,,,
"Sprain/strain: other site, unspec.",,edc35eb9-4e14-11e4-8a57-0800271c1b75,751,N/A,,,
"Sprain/strain: vertebral, unspec.",,edc8363e-4e14-11e4-8a57-0800271c1b75,752,N/A,,,
"Fracture, stress: tibia or fibula",,edcc1e0e-4e14-11e4-8a57-0800271c1b75,753,N/A,,,
"Fracture: ankle, closed, unspec.",,edd0f913-4e14-11e4-8a57-0800271c1b75,754,N/A,,,
"Fracture: carpal, closed, unspec.",,edd4c585-4e14-11e4-8a57-0800271c1b75,755,N/A,,,
"Fracture: clavicle, closed, unspec.",,ede871f9-4e14-11e4-8a57-0800271c1b75,756,N/A,,,
"Fracture: femur/hip, closed, unspec.",,edeb9e62-4e14-11e4-8a57-0800271c1b75,757,N/A,,,
"Fracture: femur/shaft, closed",,edf0485d-4e14-11e4-8a57-0800271c1b75,758,N/A,,,
"Fracture: fibula, closed, unspec.",,edf4a297-4e14-11e4-8a57-0800271c1b75,759,N/A,,,
"Fracture: foot, closed, unspec. (not toes)",,edf87de8-4e14-11e4-8a57-0800271c1b75,760,N/A,,,
"Fracture: forearm, closed, unspec.",,edfc968f-4e14-11e4-8a57-0800271c1b75,761,N/A,,,
"Fracture: humerus, closed, unspec.",,edfefa44-4e14-11e4-8a57-0800271c1b75,762,N/A,,,
"Fracture: metacarpal, closed, unspec.",,ee04203d-4e14-11e4-8a57-0800271c1b75,763,N/A,,,
"Fracture: nose, closed",,ee403553-4e14-11e4-8a57-0800271c1b75,764,N/A,,,
"Fracture: other sites, closed, unspec.",,ee7d866b-4e14-11e4-8a57-0800271c1b75,765,N/A,,,
"Fracture: pelvic, closed, unspec.",,eeb7d3f4-4e14-11e4-8a57-0800271c1b75,766,N/A,,,
"Fracture: ribs, closed, unspec.",,eebde8db-4e14-11e4-8a57-0800271c1b75,767,N/A,,,
"Fracture: skull, closed, unspec.",,eef89305-4e14-11e4-8a57-0800271c1b75,768,N/A,,,
"Fracture: tibia, closed, unspec.",,eefd1da2-4e14-11e4-8a57-0800271c1b75,769,N/A,,,
"Healed fracture, follow-up exam",,ef004bd5-4e14-11e4-8a57-0800271c1b75,770,N/A,,,
"Abrasion, unspec.",,ef041c78-4e14-11e4-8a57-0800271c1b75,771,N/A,,,
"Cold injury, unspec.",,ef07112b-4e14-11e4-8a57-0800271c1b75,772,N/A,,,
"Contusion, unspec.",,ef0981f0-4e14-11e4-8a57-0800271c1b75,773,N/A,,,
"Crushing injury, unspec.",,ef1876c6-4e14-11e4-8a57-0800271c1b75,774,N/A,,,
Exhaustion due to exposure,,ef532c22-4e14-11e4-8a57-0800271c1b75,775,N/A,,,
"Foreign body, skin, superficial, unspec.",,ef57bc0c-4e14-11e4-8a57-0800271c1b75,776,N/A,,,
"Gunshot wound, NOS",,ef5ae86d-4e14-11e4-8a57-0800271c1b75,777,N/A,,,
"Head injury, NOS",,ef5d12b2-4e14-11e4-8a57-0800271c1b75,778,N/A,,,
"Heat injury, unspec.",,ef61906d-4e14-11e4-8a57-0800271c1b75,779,N/A,,,
Insect bite,,ef65d2a0-4e14-11e4-8a57-0800271c1b75,780,N/A,,,
"Medication, adverse effects, unspec.",,ef9f11e3-4e14-11e4-8a57-0800271c1b75,781,N/A,,,
"Open wound, head/neck/trunk, unspec.",,efa2daf3-4e14-11e4-8a57-0800271c1b75,782,N/A,,,
"Open wound, lower limb, unspec.",,efa65826-4e14-11e4-8a57-0800271c1b75,783,N/A,,,
"Open wound, upper limb, unspec.",,efa8a53c-4e14-11e4-8a57-0800271c1b75,784,N/A,,,
"Other trauma, unspec.",,efac5f09-4e14-11e4-8a57-0800271c1b75,785,N/A,,,
RAPE,,efb17e08-4e14-11e4-8a57-0800271c1b75,786,N/A,,,
Unclassified,,efb5e2c7-4e14-11e4-8a57-0800271c1b75,787,N/A,,,
Acute nasopharyngitis,,efb709f0-4e14-11e4-8a57-0800271c1b75,788,N/A,,,
Pelvic congestion syndrome,,efb8fbfe-4e14-11e4-8a57-0800271c1b75,789,N/A,,,
Bronchitis,,efbc8206-4e14-11e4-8a57-0800271c1b75,790,N/A,,,
Submucous leiomyoma of uterus,,efbf9d90-4e14-11e4-8a57-0800271c1b75,791,N/A,,,
Gangrene,,efc3a75c-4e14-11e4-8a57-0800271c1b75,792,N/A,,,
Dermatophytosis,,efc6d143-4e14-11e4-8a57-0800271c1b75,793,N/A,,,
Premature ejaculation,,efca07ce-4e14-11e4-8a57-0800271c1b75,794,N/A,,,
Thyroid dysfunction,,efcbd325-4e14-11e4-8a57-0800271c1b75,795,N/A,,,
Swelling of limb,,efcef7b1-4e14-11e4-8a57-0800271c1b75,796,N/A,,,
Measles,,efd2679c-4e14-11e4-8a57-0800271c1b75,797,N/A,,,
Mycoses of the body,,efd422cd-4e14-11e4-8a57-0800271c1b75,798,N/A,,,
Tinea nigra,,efdab612-4e14-11e4-8a57-0800271c1b75,799,N/A,,,
Streptococcal meningitis,,efdcfec8-4e14-11e4-8a57-0800271c1b75,800,N/A,,,
Benign intracranial hypertension,,efe03f8b-4e14-11e4-8a57-0800271c1b75,801,N/A,,,
Cardiomyopathy,,efe3d601-4e14-11e4-8a57-0800271c1b75,802,N/A,,,
Acute sinusitis,,efea7f2d-4e14-11e4-8a57-0800271c1b75,803,N/A,,,
Endometriosis,,efee2483-4e14-11e4-8a57-0800271c1b75,804,N/A,,,
"Abortion with unspecified complication, incomplete",,eff028ad-4e14-11e4-8a57-0800271c1b75,805,N/A,,,
Synovial cyst of popliteal space,,eff42213-4e14-11e4-8a57-0800271c1b75,806,N/A,,,
Supervision of normal first pregnancy,,eff8777b-4e14-11e4-8a57-0800271c1b75,807,N/A,,,
Hydrocele,,effc05ba-4e14-11e4-8a57-0800271c1b75,808,N/A,,,
Anal fissure and fistula,,efff2a60-4e14-11e4-8a57-0800271c1b75,809,N/A,,,
Hypoparathyroidism,,f0015430-4e14-11e4-8a57-0800271c1b75,810,N/A,,,
"Mycoses, Of scalp and beard",,f0040ec7-4e14-11e4-8a57-0800271c1b75,811,N/A,,,
Rheumatoid arthritis,,f007aa45-4e14-11e4-8a57-0800271c1b75,812,N/A,,,
Eosinophilia,,f00b313f-4e14-11e4-8a57-0800271c1b75,813,N/A,,,
Hemorrhoids,,f00d97ff-4e14-11e4-8a57-0800271c1b75,814,N/A,,,
Uterine prolapse without mention of vaginal wall prolapse,,f00f73de-4e14-11e4-8a57-0800271c1b75,815,N/A,,,
Calculus of ureter,,f01840c1-4e14-11e4-8a57-0800271c1b75,816,N/A,,,
Nephrotic syndrome,,f01b758e-4e14-11e4-8a57-0800271c1b75,817,N/A,,,
Female infertility,,f01d3dde-4e14-11e4-8a57-0800271c1b75,818,N/A,,,
"Nutritional Deficiency,  Other protein",,f01fd127-4e14-11e4-8a57-0800271c1b75,819,N/A,,,
Orchitis,,f048e9b5-4e14-11e4-8a57-0800271c1b75,820,N/A,,,
Hypospadias,,f04b3016-4e14-11e4-8a57-0800271c1b75,821,N/A,,,
Sciatia,,f0874c4f-4e14-11e4-8a57-0800271c1b75,822,N/A,,,
Cleft lip,,f089550b-4e14-11e4-8a57-0800271c1b75,823,N/A,,,
Infectious diarrhea,,f08d86d6-4e14-11e4-8a57-0800271c1b75,824,N/A,,,
Dog bite,,f08f9cdf-4e14-11e4-8a57-0800271c1b75,825,N/A,,,
Vitamin A deficiency,,f092493a-4e14-11e4-8a57-0800271c1b75,826,N/A,,,
Urticaria,,f094c120-4e14-11e4-8a57-0800271c1b75,827,N/A,,,
Parkinson,,f0d261d5-4e14-11e4-8a57-0800271c1b75,828,N/A,,,
Vitiligo,,f0d5275d-4e14-11e4-8a57-0800271c1b75,829,N/A,,,
Oral aphthae,,f0ded4f0-4e14-11e4-8a57-0800271c1b75,830,N/A,,,
Keloid scar,,f0e09971-4e14-11e4-8a57-0800271c1b75,831,N/A,,,
Portal hypertension,,f11ef771-4e14-11e4-8a57-0800271c1b75,832,N/A,,,
Stricture or kinking of ureter,,f1211b8d-4e14-11e4-8a57-0800271c1b75,833,N/A,,,
Allergic rhinitis,,f125b6cc-4e14-11e4-8a57-0800271c1b75,834,N/A,,,
Cholera,,f129df86-4e14-11e4-8a57-0800271c1b75,835,N/A,,,
"Neoplasm, Stomach",,f12b766e-4e14-11e4-8a57-0800271c1b75,836,N/A,,,
Calculus of kidney and ureter,,f16b13fd-4e14-11e4-8a57-0800271c1b75,837,N/A,,,
Angina Pectoris,,f16f3a58-4e14-11e4-8a57-0800271c1b75,838,N/A,,,
Atopic dermatitis and related conditions,,f171e8dc-4e14-11e4-8a57-0800271c1b75,839,N/A,,,
Ankylosing spondylitis,,f1753c8f-4e14-11e4-8a57-0800271c1b75,840,N/A,,,
Hirschsprung,,f17c254b-4e14-11e4-8a57-0800271c1b75,841,N/A,,,
Eczema herpeticum,,f1b8dec0-4e14-11e4-8a57-0800271c1b75,842,N/A,,,
Renal failure,,f1bbf80c-4e14-11e4-8a57-0800271c1b75,843,N/A,,,
Calculus in urethra,,f1bf4a0a-4e14-11e4-8a57-0800271c1b75,844,N/A,,,
Lymphadenitis,,f1c14d1d-4e14-11e4-8a57-0800271c1b75,845,N/A,,,
Rheumatic chorea,,f1c5e152-4e14-11e4-8a57-0800271c1b75,846,N/A,,,
Lymphangitis,,f1c7dbfc-4e14-11e4-8a57-0800271c1b75,847,N/A,,,
Nephrotic syndrome with unspecified pathological lesion in kidney,,f1cae999-4e14-11e4-8a57-0800271c1b75,848,N/A,,,
Abscess of breast,,f207f5fd-4e14-11e4-8a57-0800271c1b75,849,N/A,,,
Symptom Jaundice,,f20b15b2-4e14-11e4-8a57-0800271c1b75,850,N/A,,,
Amebiasis,,f2432cce-4e14-11e4-8a57-0800271c1b75,851,N/A,,,
"Benign Neoplasm,  Cervix uteri",,f2462974-4e14-11e4-8a57-0800271c1b75,852,N/A,,,
"Carcinoma in situ, Prostate",,f2498695-4e14-11e4-8a57-0800271c1b75,853,N/A,,,
"Carcinoma in situ, Penis",,f28505d5-4e14-11e4-8a57-0800271c1b75,854,N/A,,,
Periodontosis,,f2ad41e6-4e14-11e4-8a57-0800271c1b75,855,N/A,,,
Appendicitis,,f2b0476f-4e14-11e4-8a57-0800271c1b75,856,N/A,,,
"Neoplasm, Bladder",,f2b3ac37-4e14-11e4-8a57-0800271c1b75,857,N/A,,,
Hemorrhage of gastrointestinal tract,,f2ee187d-4e14-11e4-8a57-0800271c1b75,858,N/A,,,
Ulcer of heel and midfoot,,f2f1f936-4e14-11e4-8a57-0800271c1b75,859,N/A,,,
Epispadias,,f2f76588-4e14-11e4-8a57-0800271c1b75,860,N/A,,,
Spondylolysis,,f2fa859e-4e14-11e4-8a57-0800271c1b75,861,N/A,,,
Major salivary glands,,f2fc25c7-4e14-11e4-8a57-0800271c1b75,862,N/A,,,
Enuresis,,f300c70b-4e14-11e4-8a57-0800271c1b75,863,N/A,,,
Encopresis,,f3025723-4e14-11e4-8a57-0800271c1b75,864,N/A,,,
Paralysis,,f3055d07-4e14-11e4-8a57-0800271c1b75,865,N/A,,,
Mediastinitis,,f309e3f6-4e14-11e4-8a57-0800271c1b75,866,N/A,,,
Perforation of intestine,,f30d5cb7-4e14-11e4-8a57-0800271c1b75,867,N/A,,,
Stricture,,f310a3a3-4e14-11e4-8a57-0800271c1b75,868,N/A,,,
Uterovaginal prolapse,,f3123fe6-4e14-11e4-8a57-0800271c1b75,869,N/A,,,
Prurigo,,f315f064-4e14-11e4-8a57-0800271c1b75,870,N/A,,,
Ulcer of other part of foot,,f31783e1-4e14-11e4-8a57-0800271c1b75,871,N/A,,,
Pauciarticular juvenile rheumatoid arthritis,,f31bf9bb-4e14-11e4-8a57-0800271c1b75,872,N/A,,,
Fasciitis,,f31f4721-4e14-11e4-8a57-0800271c1b75,873,N/A,,,
Chronic osteomyelitis,,f32227b9-4e14-11e4-8a57-0800271c1b75,874,N/A,,,
Encephalocele,,f35731b9-4e14-11e4-8a57-0800271c1b75,875,N/A,,,
Coronary artery anomaly,,f35aa24a-4e14-11e4-8a57-0800271c1b75,876,N/A,,,
"FRACTURE OF NECK AND TRUNK, Rib",,f3949526-4e14-11e4-8a57-0800271c1b75,877,N/A,,,
"FRACTURE OF UPPER LIMB, Ill",,f3987cff-4e14-11e4-8a57-0800271c1b75,878,N/A,,,
"Contusion, Chest wall",,f39c4539-4e14-11e4-8a57-0800271c1b75,879,N/A,,,
Nontraffic accident involving motor,,f39fbd0f-4e14-11e4-8a57-0800271c1b75,880,N/A,,,
Contact dermatitis and other eczema,,f3a240e2-4e14-11e4-8a57-0800271c1b75,881,N/A,,,
ABDOMINAL CRAMPS,ABDOMINAL CRAMPS,1dfb0948-4e15-11e4-8a57-0800271c1b75,882,N/A,,,
ABDOMINAL DISCOMFORT,Abdominal Lump,1dfe7928-4e15-11e4-8a57-0800271c1b75,883,N/A,,,
Abdominal distension,Anorexia,1e01664e-4e15-11e4-8a57-0800271c1b75,884,Boolean,,,
ABDOMINAL FULLNESS,Anasarca,1e035d7e-4e15-11e4-8a57-0800271c1b75,885,N/A,,,
Abdominal pain,Abdominal pain,1e078201-4e15-11e4-8a57-0800271c1b75,886,Boolean,,,
ABDOMINAL PAIN - COLICKY,ABDOMINAL PAIN - COLICKY,1e09fa6a-4e15-11e4-8a57-0800271c1b75,887,N/A,,,
Chest Pain,Chest Pain,1e0f4158-4e15-11e4-8a57-0800271c1b75,888,Boolean,,,
ABDOMINAL PAIN - GENERAL,ABDOMINAL PAIN - GENERAL,1e1f19ef-4e15-11e4-8a57-0800271c1b75,889,N/A,,,
ABDOMINAL PAIN - LEFT,ABDOMINAL PAIN - LEFT,1e233bb7-4e15-11e4-8a57-0800271c1b75,890,N/A,,,
ABDOMINAL PAIN - LEFT LOWER,Convulsions,1e272149-4e15-11e4-8a57-0800271c1b75,891,N/A,,,
COUGH,Cough,1e2918fb-4e15-11e4-8a57-0800271c1b75,892,N/A,,,
ABDOMINAL PAIN - RIGHT,ABDOMINAL PAIN - RIGHT,1e2d7883-4e15-11e4-8a57-0800271c1b75,893,N/A,,,
ABDOMINAL PAIN - RIGHT LOWER,ABDOMINAL PAIN - RIGHT LOWER,1e31dff9-4e15-11e4-8a57-0800271c1b75,894,N/A,,,
ABDOMINAL PAIN - RIGHT UPPER,ABDOMINAL PAIN - RIGHT UPPER,1e35fb1a-4e15-11e4-8a57-0800271c1b75,895,N/A,,,
ABDOMINAL PAIN - UMBILICAL,"Edema, localized, NOS",1e39b082-4e15-11e4-8a57-0800271c1b75,896,N/A,,,
EPISTAXIS,Epistaxis,1e3d5749-4e15-11e4-8a57-0800271c1b75,897,N/A,,,
ABNORMAL BLOOD PRESSURE,"Failure to thrive, child",1e6f31a6-4e15-11e4-8a57-0800271c1b75,898,N/A,,,
ABNORMAL BLOOD SUGAR,ABNORMAL BLOOD SUGAR,1ec7b018-4e15-11e4-8a57-0800271c1b75,899,N/A,,,
ABNORMAL CRYING,"Feeding problem, infant/elderly",1f090668-4e15-11e4-8a57-0800271c1b75,900,N/A,,,
FEVER,Fever,1f0f8ec6-4e15-11e4-8a57-0800271c1b75,901,N/A,,,
ABSCESS,ABSCESS,1f139595-4e15-11e4-8a57-0800271c1b75,902,N/A,,,
ABSCESS - ARM,ABSCESS - ARM,1f17bb4b-4e15-11e4-8a57-0800271c1b75,903,N/A,,,
ABSCESS - AXILLA,Gingival and periodontal diseases,1f1c29f6-4e15-11e4-8a57-0800271c1b75,904,N/A,,,
HEADACHE,Headache,1f592562-4e15-11e4-8a57-0800271c1b75,905,N/A,,,
Hearing Loss,Hearing loss,1f5b3d0e-4e15-11e4-8a57-0800271c1b75,906,N/A,,,
ABSCESS - FOOT,ABSCESS - FOOT,1f5e563c-4e15-11e4-8a57-0800271c1b75,907,N/A,,,
ABSCESS - INCISION,ABSCESS - INCISION,1f635f1a-4e15-11e4-8a57-0800271c1b75,908,N/A,,,
ABSCESS - LEG,Hemiplegia and hemiparesis,1f6685c0-4e15-11e4-8a57-0800271c1b75,909,N/A,,,
ABSCESS - NECK,ABSCESS - NECK,1f6a5ea9-4e15-11e4-8a57-0800271c1b75,910,N/A,,,
ABSCESS - PERIANAL,ABSCESS - PERIANAL,1f6ee168-4e15-11e4-8a57-0800271c1b75,911,N/A,,,
ABSCESS - PERINEAL,ABSCESS - PERINEAL,1f70f0e3-4e15-11e4-8a57-0800271c1b75,912,N/A,,,
ABSCESS - RECT,ABSCESS - RECT,1fa53cd0-4e15-11e4-8a57-0800271c1b75,913,N/A,,,
INJURY,Injury,1faa5af3-4e15-11e4-8a57-0800271c1b75,914,N/A,,,
